['1774', 'ABS Auditorium (B2010)', 'H70.B2010']
['1781', 'ABS CS Lect Theatre 1050', 'H70.1050']
['1780', 'ABS CS Lect Theatre 1060', 'H70.1060']
['1779', 'ABS CS Lect Theatre 1070', 'H70.1070']
['1778', 'ABS CS Lect Theatre 1170', 'H70.1170']
['1789', 'ABS CS Lect Theatre 2080', 'H70.2080']
['1790', 'ABS CS Lect Theatre 2090', 'H70.2090']
['1787', 'ABS CS Lect Theatre 2140', 'H70.2140']
['1788', 'ABS CS Lect Theatre 2150', 'H70.2150']
['1926', 'ABS Learning Hub 1010', 'H70.1010']
['1927', 'ABS Learning Hub 1220', 'H70.1220']
['1928', 'ABS Learning Hub 1230', 'H70.1230']
['1800', 'ABS Learning Studio 1090', 'H70.1090']
['1801', 'ABS Learning Studio 2100', 'H70.2100']
['1806', 'ABS Learning Studio 3090', 'H70.3090']
['1805', 'ABS Learning Studio 3100', 'H70.3100']
['1802', 'ABS Learning Studio 3120', 'H70.3120']
['1804', 'ABS Learning Studio 3190', 'H70.3190']
['1803', 'ABS Learning Studio 3300', 'H70.3300']
['1776', 'ABS Lecture Theatre 1040', 'H70.1040']
['1775', 'ABS Lecture Theatre 1110', 'H70.1110']
['1777', 'ABS Lecture Theatre 1130', 'H70.1130']
['1785', 'ABS Seminar Room 1080', 'H70.1080']
['1786', 'ABS Seminar Room 1100', 'H70.1100']
['1782', 'ABS Seminar Room 1140', 'H70.1140']
['1783', 'ABS Seminar Room 1150', 'H70.1150']
['1784', 'ABS Seminar Room 1160', 'H70.1160']
['1814', 'ABS Seminar Room 2003', 'H70.2003']
['1797', 'ABS Seminar Room 2010', 'H70.2010']
['1813', 'ABS Seminar Room 2020', 'H70.2020']
['1795', 'ABS Seminar Room 2040', 'H70.2040']
['1810', 'ABS Seminar Room 2050', 'H70.2050']
['1809', 'ABS Seminar Room 2060', 'H70.2060']
['1794', 'ABS Seminar Room 2070', 'H70.2070']
['1791', 'ABS Seminar Room 2110', 'H70.2110']
['1808', 'ABS Seminar Room 2130', 'H70.2130']
['1798', 'ABS Seminar Room 2170', 'H70.2170']
['1793', 'ABS Seminar Room 2190', 'H70.2190']
['1792', 'ABS Seminar Room 2200', 'H70.2200']
['1811', 'ABS Seminar Room 2240', 'H70.2240']
['1796', 'ABS Seminar Room 2250', 'H70.2250']
['1807', 'ABS Seminar Room 2280', 'H70.2280']
['1812', 'ABS Seminar Room 2290', 'H70.2290']
['1826', 'ABS Seminar Room 3003', 'H70.3003']
['1819', 'ABS Seminar Room 3010', 'H70.3010']
['1827', 'ABS Seminar Room 3020', 'H70.3020']
['1799', 'ABS Seminar Room 3080', 'H70.3080']
['1823', 'ABS Seminar Room 3110', 'H70.3110']
['1817', 'ABS Seminar Room 3140', 'H70.3140']
['1820', 'ABS Seminar Room 3170', 'H70.3170']
['1821', 'ABS Seminar Room 3180', 'H70.3180']
['1822', 'ABS Seminar Room 3200', 'H70.3200']
['1815', 'ABS Seminar Room 3230', 'H70.3230']
['1816', 'ABS Seminar Room 3240', 'H70.3240']
['1824', 'ABS Seminar Room 3270', 'H70.3270']
['1818', 'ABS Seminar Room 3280', 'H70.3280']
['1825', 'ABS Seminar Room 3310', 'H70.3310']
['447', 'Advanced Computer Lab', 'MACL']
['679', 'Aeronautical Eng Lab', 'AEROL']
['360', 'Aeronautical Eng LT 311', 'J11.N311']
['1146', 'Aeronautical Lab Rm N216', 'J11.N216']
['505', 'Aeronautical Tut Rm N214', 'J11.N214']
['1761', 'AL Farm Amenities Blding', 'E24X02.01']
['1765', 'Al Farm Big Brush', 'EX2410.01']
['1763', 'AL Farm Cattleyard', 'E24X07.01']
['1764', 'AL Farm Gibr. Bushland', 'E24X09.01']
['1753', 'AL Farm Old Homestead', 'E24A.01']
['1755', 'AL Farm Old Shearing Hut', 'E24F']
['1760', 'AL Farm Robotics Shed', 'E24R.01']
['1758', 'AL Farm Rway Shearing', 'E24N.01']
['1756', 'AL Farm Shearers Quaters', 'E24G.01']
['1754', 'AL Farm Shearing Shed', 'E24B.01']
['1766', 'AL Farm Sheep Yards', 'ES24XA.1']
['1757', 'AL Farm Shr Qtr Near AF', 'E24M.01']
['1759', 'AL Farm Stone Church', 'E24Q']
['801', 'Anderson Strt N221 &amp; N237', 'F13.N221']
['591', 'Anderson Strt S202 &amp; S205', 'F13.S202']
['64', 'Anderson Stuart Courtyard', 'ASRCOURT']
['1103', 'Anderson Stuart Lab E401', 'F13.E401']
['1334', 'Anderson Stuart Lab E411', 'F13.E411']
['804', 'Anderson Stuart Room N248', 'F13.N248']
['1196', 'Anderson Stuart Room S402', 'F13.S402']
['1035', 'Anderson Stuart Room W421', 'F13.W421']
['1116', 'Anderson Stuart W413', 'F13.W413']
['1553', 'Animal Reprod Rm 102', 'C30L.102']
['1508', 'Animal Reprod Rm 103', 'C30L.103']
['1556', 'ATP Biomed Bldg Lab 441', 'C81.441']
['1607', 'ATP Biomed Bldg Room 136', 'C81.136']
['1639', 'ATP Biomed Bldg Room 339', 'C81.339']
['1564', 'ATP Biomed Bldg Room 346', 'C81.346']
['1606', 'ATP Biomed Bldg Room 434', 'C81.434']
['1559', 'ATP Biomed Bldg Room 436', 'C81.436']
['1558', 'ATP Biomed Bldg Room 437', 'C81.437']
['1609', 'ATP Biomed Bldg Room 443', 'C81.443']
['1560', 'ATP Biomed Bldg Room 449', 'C81.449']
['1510', 'ATP Biomed Bldg Room 451', 'C81.451']
['1509', 'ATP Biomed Bldg Room 453', 'C81.453']
['1562', 'ATP Biomed Bldg Room 454', 'C81.454']
['1561', 'ATP Biomed Bldg Room 456', 'C81.456']
['1612', 'ATP Biomed Bldg Room 457', 'C81.457']
['1611', 'ATP Biomed Bldg Room 458', 'C81.458']
['1613', 'ATP Biomed Bldg Room 462', 'C81.462']
['1608', 'ATP Biomed Bldg Room 476', 'C81.476']
['1240', 'ATP Biomed Bldg SR 422', 'C81.422']
['1505', 'ATP Biomed Bldg TR 241', 'C81.241']
['1187', 'ATP Biomed Bldg TR 415', 'C81.415']
['1185', 'ATP Biomed Chem Lab 484', 'C81.484']
['1670', 'ATP Biomed CL 1 Rm 224', 'C81.224']
['1931', 'ATP Biomed CL 224 &amp; 225', 'C81.22.14']
['1912', 'ATP Biomed CL 226 &amp; 227', 'C81.226.1']
['1671', 'ATP Biomed CL 2 Rm 225', 'C81.225']
['1669', 'ATP Biomed CL 3 Rm 226', 'C81.226']
['1673', 'ATP Biomed CL 4 Rm 227', 'C81.227']
['1506', 'ATP Biomed CL 5 Rm 228', 'C81.228']
['1672', 'ATP Biomed Clean Lab 240', 'C81.240']
['1563', 'ATP Biomed Clean Lab 354', 'C81.354']
['1300', 'ATP Biomed Clean Lab 435', 'C81.435']
['1261', 'ATP Biomed Comp Lab 120', 'C81.120']
['1284', 'ATP Biomed Conf Rm 119', 'C81.119']
['1566', 'ATP Biomed Lab 127', 'C81.127']
['1565', 'ATP Biomed PC2 Lab 373', 'C81.373']
['1557', 'ATP Biomed PC2 Lab 438', 'C81.438']
['1299', 'ATP Biomed Plant Lab 350', 'C81.350']
['1555', 'ATP Biomed Wet Lab 134', 'C81.134']
['1909', 'ATP Food Science Lab 233', 'C81.233']
['131', 'Badham 141 Tut Room 1', 'A16.141']
['108', 'Badham 145 Tut Room 2', 'A16.145']
['359', 'Badham Lab 222A', 'A16.222A']
['1155', 'Badham Lab 222B', 'A16.222B']
['644', 'Badham Lab 227', 'A16.227']
['1502', 'Badham Room 149A/B/C', 'A16.149']
['742', 'B Block B020', 'C43B.B020']
['763', 'B Block B023', 'C43B.B023']
['764', 'B Block B024', 'C43B.B024']
['747', 'B Block B030', 'C43B.B030']
['778', 'B Block B112', 'C43B.B112']
['779', 'B Block B113', 'C43B.B113']
['788', 'B Block B Foyer', 'BFOYER']
['762', 'B Block Learn Studio B022', 'C43B.B021-022']
['561', 'Bennett Laboratory N209', 'J11.N209']
['1346', 'Biochemistry Comp Lab 304', 'G08.304']
['1345', 'Biochemistry Comp Lab 375', 'G08.375']
